,image,abs_aspect_ratio,shape,aspect_adjust,adjust_aspect_ratio,adjust_shape,handle
40,trinary0001-1904-2825SDS_Wash_I_E05.tif,8.920634920634921,"[63, 562]",True,1.0,"[442, 442]",handle
41,trinary0001-1930-1290SDS_Wash_I_E05.tif,11.76923076923077,"[52, 612]",True,1.0,"[470, 470]",handle
42,trinary0001-1942-3632SDS_Wash_I_E11.tif,1.7032258064516128,"[528, 310]",False,1.7032258064516128,"[528, 310]",handle
43,trinary0001-1977-3004SDS_Wash_I_E05.tif,1.5757575757575757,"[297, 468]",False,1.5757575757575757,"[297, 468]",handle
44,trinary0001-1990-3536SDS_Wash_I_E05.tif,1.13189448441247,"[472, 417]",False,1.13189448441247,"[472, 417]",handle
45,trinary0001-1994-2609SDS_Wash_U_C08w2_combo.tif,4.107142857142857,"[112, 460]",False,4.107142857142857,"[112, 460]",handle
46,trinary0001-2031-1608SDS_Wash_I_E07.tif,1.1313868613138687,"[274, 310]",False,1.1313868613138687,"[274, 310]",handle
47,trinary0001-2051-2318SDS_Wash_U_E07w2_combo.tif,1.497191011235955,"[533, 356]",False,1.497191011235955,"[533, 356]",handle
48,trinary0001-2081-1895SDS_Wash_I_E09.tif,1.4028268551236749,"[283, 397]",False,1.4028268551236749,"[283, 397]",handle
49,trinary0001-2096-2245SDS_Wash_I_E09.tif,2.261904761904762,"[210, 475]",False,2.261904761904762,"[210, 475]",handle
50,trinary0001-2122-0809SDS_Wash_I_E11.tif,13.902439024390244,"[570, 41]",True,1.0,"[432, 432]",handle
51,trinary0001-2128-3085SDS_Wash_I_E09.tif,1.5310077519379846,"[258, 395]",False,1.5310077519379846,"[258, 395]",handle
52,trinary0001-2159-1968SDS_Wash_I_E09.tif,2.6869565217391305,"[115, 309]",False,2.6869565217391305,"[115, 309]",handle
53,trinary0001-2160-3150SDS_Wash_U_F08w2_combo.tif,1.0672268907563025,"[119, 127]",False,1.0672268907563025,"[119, 127]",handle
54,trinary0001-2164-0539SDS_Wash_I_E05.tif,2.8333333333333335,"[168, 476]",False,2.8333333333333335,"[168, 476]",handle
